name,uce_site,aln_site,entropy_wd_start,entropy_wd_stop,gc_wd_start,gc_wd_stop,multi_wd_start,multi_wd_stop,entropy,gc,multi
chr2_21402,-193,138032,132,245,162,285,101,286,-0.0,60.0,0.13575466030659486
chr2_21402,-192,138033,132,245,162,285,101,286,-0.0,60.0,0.1318607660829978
chr2_21402,-191,138034,132,245,162,285,101,286,-0.0,0.0,6.821426111179795
chr2_21402,-190,138035,132,245,162,285,101,286,-0.0,0.0,6.821426111179795
chr2_21402,-189,138036,132,245,162,285,101,286,-0.0,0.0,6.821426111179795
chr2_21402,-188,138037,132,245,162,285,101,286,-0.0,70.0,0.0033577168943267574
chr2_21402,-187,138038,132,245,162,285,101,286,-0.0,0.0,0.2582898858893424
chr2_21402,-186,138039,132,245,162,285,101,286,-0.0,0.0,0.2582898858893424
chr2_21402,-185,138040,132,245,162,285,101,286,-0.0,0.0,0.2582898858893424
chr2_21402,-184,138041,132,245,162,285,101,286,-0.0,0.0,0.2582898858893424
chr2_21402,-183,138042,132,245,162,285,101,286,1.1488348542809166,50.0,0.4917206292243616
chr2_21402,-182,138043,132,245,162,285,101,286,1.3787834934861753,50.0,1.1958659728056558
chr2_21402,-181,138044,132,245,162,285,101,286,-0.0,0.0,0.3241041408391565
chr2_21402,-180,138045,132,245,162,285,101,286,-0.0,70.0,0.0033577168943267574
chr2_21402,-179,138046,132,245,162,285,101,286,0.5916727785823275,60.0,0.04245614724761141
chr2_21402,-178,138047,132,245,162,285,101,286,-0.0,0.0,0.3241041408391565
chr2_21402,-177,138048,132,245,162,285,101,286,-0.0,0.0,0.3241041408391565
chr2_21402,-176,138049,132,245,162,285,101,286,-0.0,0.0,0.2582898858893424
chr2_21402,-175,138050,132,245,162,285,101,286,0.5916727785823275,10.0,1.181034400706918
chr2_21402,-174,138051,132,245,162,285,101,286,-0.0,0.0,0.3241041408391565
chr2_21402,-173,138052,132,245,162,285,101,286,-0.0,0.0,0.3241041408391565
chr2_21402,-172,138053,132,245,162,285,101,286,-0.0,0.0,0.010395428596425988
chr2_21402,-171,138054,132,245,162,285,101,286,-0.0,80.0,6.99019439677291e-05
chr2_21402,-170,138055,132,245,162,285,101,286,-0.0,0.0,0.01347417033438409
chr2_21402,-169,138056,132,245,162,285,101,286,-0.0,80.0,6.99019439677291e-05
chr2_21402,-168,138057,132,245,162,285,101,286,-0.0,0.0,0.01347417033438409
chr2_21402,-167,138058,132,245,162,285,101,286,0.5435644431995964,10.0,0.05611409308022257
chr2_21402,-166,138059,132,245,162,285,101,286,-0.0,0.0,0.010395428596425988
chr2_21402,-165,138060,132,245,162,285,101,286,-0.0,0.0,0.010395428596425988
chr2_21402,-164,138061,132,245,162,285,101,286,-0.0,80.0,6.99019439677291e-05
chr2_21402,-163,138062,132,245,162,285,101,286,-0.0,0.0,0.0004979284764730972
chr2_21402,-162,138063,132,245,162,285,101,286,-0.0,90.0,1.3979328689710784e-06
chr2_21402,-161,138064,132,245,162,285,101,286,-0.0,0.0,0.00037189888521763515
chr2_21402,-160,138065,132,245,162,285,101,286,-0.0,90.0,1.3382202186877925e-06
chr2_21402,-159,138066,132,245,162,285,101,286,0.5032583347756457,10.0,0.0023215758437070606
chr2_21402,-158,138067,132,245,162,285,101,286,-0.0,0.0,1.656053659534931e-05
chr2_21402,-157,138068,132,245,162,285,101,286,-0.0,0.0,1.197429250644885e-05
chr2_21402,-156,138069,132,245,162,285,101,286,0.7219280948873623,80.0,4.0190771466788606e-06
chr2_21402,-155,138070,132,245,162,285,101,286,-0.0,100.0,2.3057298936899412e-08
chr2_21402,-154,138071,132,245,162,285,101,286,-0.0,100.0,2.3057298936899412e-08
chr2_21402,-153,138072,132,245,162,285,101,286,-0.0,0.0,1.656053659534931e-05
chr2_21402,-152,138073,132,245,162,285,101,286,-0.0,0.0,1.197429250644885e-05
chr2_21402,-151,138074,132,245,162,285,101,286,-0.0,0.0,1.197429250644885e-05
chr2_21402,-150,138075,132,245,162,285,101,286,-0.0,0.0,1.656053659534931e-05
chr2_21402,-149,138076,132,245,162,285,101,286,-0.0,100.0,2.4203249895617667e-08
chr2_21402,-148,138077,132,245,162,285,101,286,-0.0,0.0,1.197429250644885e-05
chr2_21402,-147,138078,132,245,162,285,101,286,-0.0,0.0,1.197429250644885e-05
chr2_21402,-146,138079,132,245,162,285,101,286,-0.0,0.0,1.197429250644885e-05
chr2_21402,-145,138080,132,245,162,285,101,286,-0.0,0.0,1.197429250644885e-05
chr2_21402,-144,138081,132,245,162,285,101,286,1.1567796494470395,80.0,2.9987820027760582e-05
chr2_21402,-143,138082,132,245,162,285,101,286,1.0,10.0,208957.4413846513
chr2_21402,-142,138083,132,245,162,285,101,286,0.4689955935892812,90.0,4.64936622994849e-07
chr2_21402,-141,138084,132,245,162,285,101,286,-0.0,100.0,2.4203249895617667e-08
chr2_21402,-140,138085,132,245,162,285,101,286,-0.0,100.0,2.4203249895617667e-08
chr2_21402,-139,138086,132,245,162,285,101,286,-0.0,100.0,2.3057298936899412e-08
chr2_21402,-138,138087,132,245,162,285,101,286,-0.0,0.0,1.656053659534931e-05
chr2_21402,-137,138088,132,245,162,285,101,286,-0.0,0.0,1.197429250644885e-05
