INFO     | 2016-12-20 17:23:30,930 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-20 17:23:30,937 | config     | Setting 'alignment' to 'McCormack_2013.phy'
INFO     | 2016-12-20 17:23:30,938 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-20 17:23:30,938 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-20 17:23:30,951 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-20 17:23:30,951 | model_load | GTR+G
INFO     | 2016-12-20 17:23:30,952 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-12-20 17:23:31,112 | config     | Setting 'search' to 'greedy'
INFO     | 2016-12-20 17:23:31,113 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-12-20 17:23:31,113 | config     | Looking for alignment file './McCormack_2013.phy'...
INFO     | 2016-12-20 17:23:31,113 | analysis   | Beginning Analysis
INFO     | 2016-12-20 17:23:31,227 | alignment  | Reading alignment file './McCormack_2013.phy'
INFO     | 2016-12-20 17:23:32,032 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-12-20 17:23:32,033 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-12-20 17:23:37,233 | raxml      | Topology estimation finished
INFO     | 2016-12-20 17:23:37,238 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2016-12-20 17:26:11,158 | raxml      | Branchlength estimation finished
INFO     | 2016-12-20 17:26:11,159 | analysis_m | Performing Greedy Analysis
INFO     | 2016-12-20 17:26:11,159 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-12-20 17:28:58,899 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2016-12-20 17:28:58,931 | analysis_m |    Greedy algorithm finished after 1 steps
INFO     | 2016-12-20 17:28:58,931 | analysis_m |    Best scoring scheme is scheme start_scheme, with aicc score of 3192533.019
INFO     | 2016-12-20 17:28:58,955 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2016-12-20 17:28:58,955 | model_util |    
INFO     | 2016-12-20 17:28:58,956 | model_util |    
INFO     | 2016-12-20 17:28:58,956 | model_util |    *Citations for this analysis*
INFO     | 2016-12-20 17:28:58,956 | model_util |    -----------------------------
INFO     | 2016-12-20 17:28:58,956 | model_util |    
INFO     | 2016-12-20 17:28:58,956 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2016-12-20 17:28:58,956 | model_util |    
INFO     | 2016-12-20 17:28:58,956 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2016-12-20 17:28:58,957 | model_util |    Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2016-12-20 17:28:58,957 | model_util |    
INFO     | 2016-12-20 17:28:58,957 | model_util |    For the greedy algorithm you used, please cite:
INFO     | 2016-12-20 17:28:58,957 | model_util |    Lanfear, R., Calcott, B., Ho, S. Y., & Guindon, S. (2012). PartitionFinder: combined selection of partitioning schemes and substitution models for phylogenetic analyses. Molecular biology and evolution, 29(6), 1695-1701.
INFO     | 2016-12-20 17:28:58,957 | model_util |    
INFO     | 2016-12-20 17:28:58,957 | model_util |    Your analysis also used RAxML, so please cite:
INFO     | 2016-12-20 17:28:58,957 | model_util |    Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2016-12-20 17:28:58,958 | model_util |    
INFO     | 2016-12-20 17:28:58,960 | main       | Total processing time: 0:05:28 (h:m:s)
INFO     | 2016-12-20 17:28:58,961 | main       | Processing complete.
